pop xdeg xmin xsec xdir ydeg ymin ysec ydir commune province
35 72 45 45 W 19 37 45 N TERRE_NEUVE ARTIBONITE
80 72 45 15 W 19 37 45 N TERRE_NEUVE ARTIBONITE
41 72 45 45 W 19 37 15 N TERRE_NEUVE ARTIBONITE
55 72 45 15 W 19 37 15 N TERRE_NEUVE ARTIBONITE
107 72 44 45 W 19 37 15 N TERRE_NEUVE ARTIBONITE
40 72 44 15 W 19 37 15 N TERRE_NEUVE ARTIBONITE
35 72 45 45 W 19 36 45 N TERRE_NEUVE ARTIBONITE
6 72 45 15 W 19 36 45 N TERRE_NEUVE ARTIBONITE
55 72 44 45 W 19 36 45 N TERRE_NEUVE ARTIBONITE
55 72 44 15 W 19 36 45 N TERRE_NEUVE ARTIBONITE
27 72 43 45 W 19 36 45 N TERRE_NEUVE ARTIBONITE
59 72 43 15 W 19 36 45 N TERRE_NEUVE ARTIBONITE
93 72 42 45 W 19 36 45 N TERRE_NEUVE ARTIBONITE
71 72 46 15 W 19 36 15 N TERRE_NEUVE ARTIBONITE
4 72 45 45 W 19 36 15 N TERRE_NEUVE ARTIBONITE
101 72 45 15 W 19 36 15 N TERRE_NEUVE ARTIBONITE
40 72 44 45 W 19 36 15 N TERRE_NEUVE ARTIBONITE
815 72 44 15 W 19 36 15 N TERRE_NEUVE ARTIBONITE
93 72 43 45 W 19 36 15 N TERRE_NEUVE ARTIBONITE
59 72 43 15 W 19 36 15 N TERRE_NEUVE ARTIBONITE
101 72 49 15 W 19 35 45 N TERRE_NEUVE ARTIBONITE
61 72 48 45 W 19 35 45 N TERRE_NEUVE ARTIBONITE
40 72 47 15 W 19 35 45 N TERRE_NEUVE ARTIBONITE
823 72 46 45 W 19 35 45 N TERRE_NEUVE ARTIBONITE
51 72 46 15 W 19 35 45 N TERRE_NEUVE ARTIBONITE
40 72 45 45 W 19 35 45 N TERRE_NEUVE ARTIBONITE
31 72 45 15 W 19 35 45 N TERRE_NEUVE ARTIBONITE
51 72 44 45 W 19 35 45 N TERRE_NEUVE ARTIBONITE
977 72 44 15 W 19 35 45 N TERRE_NEUVE ARTIBONITE
101 72 43 45 W 19 35 45 N TERRE_NEUVE ARTIBONITE
13 72 49 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
70 72 48 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
40 72 48 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
40 72 47 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
40 72 47 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
13 72 46 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
40 72 46 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
20 72 45 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
533 72 45 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
11 72 44 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
13 72 44 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
40 72 43 45 W 19 35 15 N TERRE_NEUVE ARTIBONITE
42 72 43 15 W 19 35 15 N TERRE_NEUVE ARTIBONITE
12 72 50 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
80 72 49 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
70 72 49 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
25 72 48 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
20 72 48 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
40 72 47 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
51 72 47 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
658 72 46 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
6 72 46 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
20 72 45 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
13 72 45 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
54 72 44 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
31 72 44 15 W 19 34 45 N TERRE_NEUVE ARTIBONITE
29 72 43 45 W 19 34 45 N TERRE_NEUVE ARTIBONITE
152 72 49 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
21 72 49 15 W 19 34 15 N TERRE_NEUVE ARTIBONITE
40 72 48 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
55 72 48 15 W 19 34 15 N TERRE_NEUVE ARTIBONITE
20 72 47 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
31 72 47 15 W 19 34 15 N TERRE_NEUVE ARTIBONITE
25 72 46 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
20 72 46 15 W 19 34 15 N TERRE_NEUVE ARTIBONITE
13 72 45 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
40 72 45 15 W 19 34 15 N TERRE_NEUVE ARTIBONITE
35 72 44 45 W 19 34 15 N TERRE_NEUVE ARTIBONITE
51 72 49 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
152 72 49 15 W 19 33 45 N TERRE_NEUVE ARTIBONITE
101 72 48 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
42 72 48 15 W 19 33 45 N TERRE_NEUVE ARTIBONITE
20 72 47 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
20 72 47 15 W 19 33 45 N TERRE_NEUVE ARTIBONITE
35 72 46 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
14 72 46 15 W 19 33 45 N TERRE_NEUVE ARTIBONITE
55 72 45 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
20 72 45 15 W 19 33 45 N TERRE_NEUVE ARTIBONITE
40 72 44 45 W 19 33 45 N TERRE_NEUVE ARTIBONITE
6 72 49 15 W 19 33 15 N TERRE_NEUVE ARTIBONITE
152 72 48 45 W 19 33 15 N TERRE_NEUVE ARTIBONITE
25 72 48 15 W 19 33 15 N TERRE_NEUVE ARTIBONITE
42 72 47 45 W 19 33 15 N TERRE_NEUVE ARTIBONITE
13 72 47 15 W 19 33 15 N TERRE_NEUVE ARTIBONITE
27 72 46 45 W 19 33 15 N TERRE_NEUVE ARTIBONITE
94 72 46 15 W 19 33 15 N TERRE_NEUVE ARTIBONITE
40 72 45 45 W 19 33 15 N TERRE_NEUVE ARTIBONITE
107 72 45 15 W 19 33 15 N TERRE_NEUVE ARTIBONITE
4 72 48 45 W 19 32 45 N TERRE_NEUVE ARTIBONITE
118 72 48 15 W 19 32 45 N TERRE_NEUVE ARTIBONITE
51 72 47 45 W 19 32 45 N TERRE_NEUVE ARTIBONITE
11 72 47 15 W 19 32 45 N TERRE_NEUVE ARTIBONITE
27 72 46 45 W 19 32 45 N TERRE_NEUVE ARTIBONITE
27 72 46 15 W 19 32 45 N TERRE_NEUVE ARTIBONITE
839 72 45 45 W 19 32 45 N TERRE_NEUVE ARTIBONITE
25 72 45 15 W 19 32 45 N TERRE_NEUVE ARTIBONITE
499 72 44 45 W 19 32 45 N TERRE_NEUVE ARTIBONITE
21 72 46 45 W 19 32 15 N TERRE_NEUVE ARTIBONITE
34 72 46 15 W 19 32 15 N TERRE_NEUVE ARTIBONITE
80 72 45 45 W 19 32 15 N TERRE_NEUVE ARTIBONITE
51 72 45 15 W 19 32 15 N TERRE_NEUVE ARTIBONITE
46 72 44 45 W 19 32 15 N TERRE_NEUVE ARTIBONITE
25 72 44 15 W 19 32 15 N TERRE_NEUVE ARTIBONITE
54 72 43 45 W 19 32 15 N TERRE_NEUVE ARTIBONITE
21 72 46 45 W 19 31 45 N TERRE_NEUVE ARTIBONITE
651 72 46 15 W 19 31 45 N TERRE_NEUVE ARTIBONITE
141 72 45 45 W 19 31 45 N TERRE_NEUVE ARTIBONITE
94 72 45 15 W 19 31 45 N TERRE_NEUVE ARTIBONITE
120 72 44 45 W 19 31 45 N TERRE_NEUVE ARTIBONITE
31 72 44 15 W 19 31 45 N TERRE_NEUVE ARTIBONITE
31 72 46 15 W 19 31 15 N TERRE_NEUVE ARTIBONITE
20 72 45 45 W 19 31 15 N TERRE_NEUVE ARTIBONITE
280 72 42 45 W 19 41 15 N GROS_MORNE ARTIBONITE
63 72 43 15 W 19 40 45 N GROS_MORNE ARTIBONITE
141 72 42 45 W 19 40 45 N GROS_MORNE ARTIBONITE
205 72 42 15 W 19 40 45 N GROS_MORNE ARTIBONITE
337 72 41 45 W 19 40 45 N GROS_MORNE ARTIBONITE
